ParentBusinessUnit,BusinessUnit,Latitude,Longitude,StateShort,Year,Make,Model,Trim,Mileage,ListPrice,LotPrice,MSRP,MarketAveragePrice,AgeInDays,Color,InteriorColor,ReconditionCost,UnitCost,PotentialGross,Stock,VIN,Received,Transmission,Risk,PrimaryBookValue,class
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Toyota,Highlander,XLE,40226,28497,28995,NULL,NULL,36,WHITE,NULL,1783.62,25283.62,3213.38,FS077704T,5TDKKRFH9FS077704,1/29/2019,Automatic,GREEN,24688,2WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2005,Dodge,Caravan,SE,151994,3997,3997,NULL,NULL,33,WHI/W,NULL,NULL,500,3497,5B397410T,1D4GP24RX5B397410,2/1/2019,Automatic,RED,1739,2WD Minivans
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2018,Kia,Soul,BASE,20405,14995,14995,NULL,NULL,29,BLK/B,NULL,NULL,12143.14,2851.86,J7899036C,KNDJN2A26J7899036,2/5/2019,Automatic,YELLOW,13411,Small Wagon
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2014,Hyundai,Sonata,GLS,69401,10997,11995,NULL,12487,29,WHI/W,NULL,NULL,11002.75,-5.75,EH861740C,5NPEB4AC0EH861740,2/5/2019,Automatic,YELLOW,9143,4-door Large Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Nissan,Sentra,S,34180,13997,13995,NULL,13245.25,29,GRAY/,NULL,NULL,11203.13,2793.87,HY290884C,3N1AB7APXHY290884,2/5/2019,Automatic,YELLOW,11108,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Hyundai,Elantra GT, ,42063,12997,13995,NULL,12662.75,29,BLU/B,NULL,NULL,12029.26,967.74,HU367412C,KMHD35LH4HU367412,2/5/2019,N/A,YELLOW,11882,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Hyundai,Sonata,2.4L,33935,13997,15995,NULL,13749.4545,29,RED/R,NULL,NULL,12986.18,1010.82,HH497802C,5NPE24AF7HH497802,2/5/2019,Automatic,YELLOW,13072,4-door Large Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Nissan,Sentra,S,33027,13997,13995,NULL,13289.4705,29,SIL/S,NULL,NULL,11862.01,2134.99,HY383337C,3N1AB7AP8HY383337,2/5/2019,N/A,YELLOW,11150,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Kia,Sportage,LX,84593,14995,14995,NULL,14043.5,29,BLU/B,NULL,NULL,13429.38,1565.62,G7865882C,KNDPBCAC4G7865882,2/5/2019,Automatic,YELLOW,11736,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2013,Volkswagen,Jetta,SE W/CONVENIENCE,57668,NULL,0,NULL,9686,29,BLACK,NULL,NULL,3000,NULL,DM373532C,3VWDP7AJ3DM373532,2/5/2019,6-Speed A/T,YELLOW,7020,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Hyundai,Accent,SE,49864,11997,11995,NULL,12429.85,29,ORA/O,NULL,NULL,12114.93,-117.93,HU301698C,KMHCT5AE9HU301698,2/5/2019,Automatic,YELLOW,9930,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Mitsubishi,Outlander Sport,2.4 GT,13359,17997,19000,NULL,NULL,29,Quick,NULL,131.52,17932.15,64.85,E025850C,4A4AR4AW4FE025850,2/5/2019,Automatic,YELLOW,16212,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Hyundai,Sonata,2.4L,42915,13997,14300,NULL,13749.4545,29,SIL/S,NULL,1197.26,15917.75,-1920.75,HH470734C,5NPE24AF2HH470734,2/5/2019,Automatic,YELLOW,12513,4-door Large Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2007,Mazda,MAZDA3,I SPORT,206860,4693,4693,NULL,NULL,29,SILER,NULL,NULL,875,3818,71719089C,JM1BK12G971719089,2/5/2019,N/A,RED,1792,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Kia,Soul,BASE,50288,10995,10995,NULL,11730.6666,29,WHI/W,NULL,NULL,11255.17,-260.17,F7224242C,KNDJN2A20F7224242,2/5/2019,Manual,YELLOW,9891,Small Wagon
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Hyundai,Accent,SE,11383,9997,10300,NULL,10265.5,29,RED/R,NULL,NULL,11388.18,-1391.18,GU237113C,KMHCT5AE9GU237113,2/5/2019,Automatic,YELLOW,10195,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Kia,Forte,LX,13710,11997,11995,NULL,12925.75,29,BLK/B,NULL,NULL,12013.38,-16.38,HE016221C,3KPFK4A73HE016221,2/5/2019,Manual,YELLOW,11397,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Nissan,Titan XD,S,25439,30997,27995,33250,NULL,29,WHI/W,NULL,NULL,29357.83,1639.17,GN516460C,1N6BA1F17GN516460,2/5/2019,Automatic,YELLOW,27133,2WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Subaru,Outback,PREMIUM,31161,25497,26995,NULL,24307.9,29,GRAY/,NULL,NULL,24684.25,812.75,H3411444C,4S4BSACC1H3411444,2/5/2019,A/T,YELLOW,22048,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2014,Kia,Soul,!,105866,10800,10800,NULL,NULL,29,BLU/B,NULL,NULL,12018.54,-1218.54,E7014213C,KNDJX3A55E7014213,2/5/2019,Automatic,RED,8503,Small Wagon
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Nissan,Titan XD,PLATINUM RESERVE,43223,35997,36995,NULL,NULL,29,RED/R,NULL,NULL,33298.77,2698.23,GN500385CA,1N6BA1F42GN500385,2/5/2019,Automatic,YELLOW,31437,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2013,Subaru,XV Crosstrek,PREMIUM,71066,15997,16995,NULL,15326.6666,29,ORA/O,NULL,NULL,17625.35,-1628.35,DH208761C,JF2GPACC3DH208761,2/5/2019,CVT Transmission,YELLOW,13686,Small Wagon
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Toyota,Tundra 4WD,TRD PRO,70249,35497,34995,NULL,35351.75,29,WHI/W,NULL,50,35406,91,GX539703C,5TFDW5F10GX539703,2/5/2019,Automatic,YELLOW,34469,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Toyota,Tundra 4WD,SR5,24265,34997,35995,NULL,33811.6666,29,Magne,13,760.37,34556.92,440.08,GX538782C,5TFDY5F13GX538782,2/5/2019,Automatic,YELLOW,32369,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Kia,Sorento,EX,65010,20776,15995,NULL,NULL,29,GRAY/,NULL,284.43,21078.98,-302.98,GG024801C,5XYPHDA16GG024801,2/5/2019,Automatic,YELLOW,16818,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Kia,Forte,EX,85505,9997,10995,NULL,10987,29,WHI/W,NULL,NULL,11227.52,-1230.52,F5318956C,KNAFX4A84F5318956,2/5/2019,6-Speed A/T,YELLOW,8411,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Kia,Optima,SX TURBO,42834,16997,16800,NULL,20587,29,Satin,GRY,101.52,18259.1,-1262.1,FG359185C,5XXGR4A63FG359185,2/5/2019,Automatic,YELLOW,16069,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Nissan,Versa Note,SV,38100,9997,10300,NULL,8499,29,Super,G,NULL,7777.38,2219.62,FL422927C,3N1CE2CP3FL422927,2/5/2019,Automatic,YELLOW,7416,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,1998,BMW,5 Series,528IA,0,NULL,0,NULL,NULL,29,BURGA,NULL,NULL,4240,NULL,WGT97565C,WBADD6329WGT97565,2/5/2019,Automatic,RED,2780,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Jeep,Cherokee,LIMITED,59899,18397,18397,NULL,NULL,27,SIL/S,NULL,996.6,15496.6,2900.4,FW535901T,1C4PJLDS6FW535901,2/7/2019,Automatic,YELLOW,15983,2WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2001,Ford,Super Duty F-350 SRW,LARIAT,148955,NULL,0,NULL,NULL,26,White,NULL,NULL,5000,NULL,1EA67660,1FTSW31S51EA67660,2/8/2019,Automatic,RED,10479,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Ram,1500,SPORT,43860,33497,36000,NULL,NULL,25,PS2 B,AJX9,1566.65,31066.65,2430.35,HS599463,1C6RR7UT5HS599463,2/9/2019,Automatic,YELLOW,29952,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Ram,3500,Tradesman,34526,42997,42997,42997,39995,26,PGZ B,NULL,2392,38892,4105,GG374589,3C63R3CL1GG374589,2/8/2019,Automatic,YELLOW,39114,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Chevrolet,Express Cutaway,,2744,39997,39997,NULL,NULL,23,White,NULL,100,35100,4897,HN004969,1HA6GUCG2HN004969,2/11/2019,Automatic,YELLOW,NULL,Commercial Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2001,Volkswagen,New Beetle,GLS,160012,NULL,0,NULL,NULL,19,BLK/B,NULL,NULL,500,NULL,1M462659,3VWCP21C71M462659,2/15/2019,Automatic,RED,1594,2-door Sub-Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2014,Honda,Civic,LX,17550,13397,13397,NULL,14975,17,BLUE,NULL,1936.9,10936.9,2460.1,EE264172T,19XFB2F57EE264172,2/17/2019,CVT Transmission,YELLOW,11501,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Ford,Fiesta,S,21905,9997,9997,NULL,NULL,17,Absol,NULL,1304.61,7304.61,2692.39,GM185157T,3FADP4AJ0GM185157,2/17/2019,Automatic,YELLOW,6809,4-door Sub-Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Toyota,Corolla,S Plus,61609,13497,13497,NULL,15102.2,26,BLACK,NULL,2413.73,13963.73,-466.73,FC270038T,2T1BURHE2FC270038,2/8/2019,Manual,YELLOW,11794,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2013,INFINITI,M37, ,79622,17997,17997,NULL,NULL,19,GRAY/,NULL,2232.62,16672.62,1324.38,DM601309T,JN1BY1AR1DM601309,2/15/2019,Automatic,YELLOW,14976,4-door Large Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2018,Ford,F-150,XLT,6019,30997,30997,NULL,32793.4,19,BRN/B,NULL,1350.75,27500.75,3496.25,JKE46258T,1FTEW1E53JKE46258,2/15/2019,Automatic,GREEN,29186,4WD Standard Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Kia,Sportage,LX,84045,13997,13497,NULL,NULL,19,WHI/W,NULL,1626.06,12776.06,1220.94,F7783151T,KNDPBCAC6F7783151,2/15/2019,Automatic,YELLOW,11318,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Ford,Escape,SE,68010,13997,13997,NULL,NULL,19,GLD/G,NULL,NULL,10250,3747,FUB20759T,1FMCU0G98FUB20759,2/15/2019,Automatic,YELLOW,11823,2WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Toyota,RAV4,LIMITED,60258,20997,20997,NULL,21890,19,SIL/S,NULL,NULL,18170,2827,FD171717T,JTMDFREV6FD171717,2/15/2019,Automatic,GREEN,18339,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2013,Lexus,ES 350,4DR SDN,48995,19997,19997,NULL,NULL,19,GRAY/,NULL,NULL,16975,3022,D2062279T,JTHBK1GG8D2062279,2/15/2019,Automatic,YELLOW,18252,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2013,Subaru,Outback,2.5I LIMITED,81055,16497,16497,NULL,16949.5,13,BLU/B,NULL,NULL,14660,1837,D3219295,4S4BRBKC7D3219295,2/21/2019,A/T,YELLOW,14263,Mid-Size Wagon
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Toyota,4Runner,SR5 PREMIUM,116686,25752,22997,NULL,31588.6666,13,Class,22,1357.32,21357.32,4394.68,F5232180,JTEBU5JR4F5232180,2/21/2019,Automatic,RED,20819,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2004,Ford,Ranger,XLT,169121,7997,7997,NULL,NULL,12,CHAMP,NULL,2850.49,4350.49,3646.51,4PA79870,1FTZR45E94PA79870,2/22/2019,Manual,RED,3635,4WD Small Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2012,Mazda,MAZDA3,I TOURING,72117,8397,8397,NULL,7998.5,13,SILVE,NULL,1720.47,6220.47,2176.53,C1674482,JM1BL1L86C1674482,2/21/2019,Automatic,YELLOW,6406,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Toyota,Camry,LE,51168,14997,14997,NULL,16290.6,13,BLK/B,NULL,1859.94,14104.94,892.06,GR530420C,4T4BF1FK4GR530420,2/21/2019,Automatic,GREEN,13350,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Toyota,Avalon,XLE,39833,20997,20997,NULL,21316,13,WHI/W,NULL,2314.12,20434.12,562.88,FU191799C,4T1BK1EB5FU191799,2/21/2019,Automatic,YELLOW,18239,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2011,Audi,A6,3.0T PRESTIGE,83494,13997,13997,NULL,NULL,13,SIL/S,NULL,2144.1,12244.1,1752.9,BN017807,WAUKGAFB0BN017807,2/21/2019,Automatic,RED,10596,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Toyota,4Runner,LIMITED,45318,33997,33997,NULL,28840.3333,13,SIL/S,NULL,1403.83,32253.83,1743.17,F5268564C,JTEBU5JR4F5268564,2/21/2019,Automatic,GREEN,31566,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Toyota,RAV4,XLE,69101,18997,18997,NULL,22238.75,13,BLU/B,NULL,2072.91,18467.91,529.09,FW371199C,2T3RFREV1FW371199,2/21/2019,Automatic,GREEN,15955,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Toyota,Highlander,LE PLUS,35973,27997,27997,NULL,30123,13,BLK/B,NULL,2000,26550,1447,GS248491C,5TDBKRFH6GS248491,2/21/2019,Automatic,GREEN,24986,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Lexus,NX 200t,,26193,31997,31997,NULL,NULL,13,BLK/B,NULL,NULL,27320,4677,F2033600,JTJBARBZ0F2033600,2/21/2019,Automatic,YELLOW,29219,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2011,Ford,Fusion,SE,95899,6997,6997,NULL,NULL,26,BLK/B,NULL,224.8,4224.8,2772.2,BR305048,3FAHP0HA0BR305048,2/8/2019,Automatic,RED,5022,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Toyota,Highlander,XLE,28622,30997,30997,NULL,30868.1428,13,SIL/S,NULL,1478.2,29818.2,1178.8,GS246796C,5TDJKRFH2GS246796,2/21/2019,Automatic,GREEN,28551,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2006,Toyota,Tacoma,,238462,12997,12997,NULL,NULL,10,White,NULL,2188.39,11188.39,1808.61,6M007329,3TMLU42N46M007329,2/24/2019,Automatic,RED,9539,4WD Small Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Toyota,Yaris,LE,24397,12997,12997,NULL,NULL,9,Class,20,1204.22,10704.22,2292.78,HA074469T,VNKKTUD31HA074469,2/25/2019,Automatic,YELLOW,11154,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Jeep,Patriot,SPORT,41097,14997,14997,NULL,NULL,8,Redli,G7DV,NULL,11500,3497,HD187194T,1C4NJPBA9HD187194,2/26/2019,Automatic,YELLOW,12594,2WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2010,Ford,Expedition,XLT,114928,10897,10897,11997,9995,8,WHI/W,NULL,1604.73,9104.73,1792.27,6AEB63784,1FMJU1G56AEB63784,2/26/2019,Automatic,RED,8110,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Lexus,RX 350,,71813,24497,24497,NULL,25655.6666,7,SIL/S,NULL,NULL,19730,4767,FC287737,2T2BK1BA2FC287737,2/27/2019,Automatic,YELLOW,21298,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Toyota,Corolla,LE,39566,14997,14997,NULL,15242,12,RED/R,NULL,NULL,11950,3047,GC507663C,2T1BURHE4GC507663,2/22/2019,Automatic,YELLOW,12095,4-door Compact Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Chevrolet,Equinox,Premier,90935,17497,17497,NULL,17957,12,NULL,NULL,NULL,14000,3497,H6207087,2GNFLGEKXH6207087,2/22/2019,Automatic,YELLOW,14524,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2011,Kia,Sportage,LX,92845,9997,9997,NULL,NULL,7,NULL,NULL,NULL,6500,3497,B7017756,KNDPBCA20B7017756,2/27/2019,Automatic,RED,7873,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2014,Jeep,Cherokee,Latitude,80838,13997,13997,NULL,NULL,19,RED/R,NULL,1319.95,11269.95,2727.05,EW139452,1C4PJLCB6EW139452,2/15/2019,Automatic,YELLOW,10935,2WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2017,Chevrolet,Equinox,LS,63376,16497,16497,NULL,NULL,6,BLK/B,NULL,NULL,13500,2997,H6248853,2GNFLEEK4H6248853,2/28/2019,Automatic,YELLOW,13658,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Dodge,Journey,SXT,32566,19200,19200,NULL,17219,6,Venom,E5X9,1119.89,14619.89,4580.11,GT151343,3C4PDDBG2GT151343,2/28/2019,Automatic,YELLOW,15259,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2014,Dodge,Avenger,SXT,63324,12997,12997,NULL,NULL,6,Black,NULL,NULL,8500,4497,EN217236,1C3CDZCG9EN217236,2/28/2019,Automatic,YELLOW,9590,4-door Mid-Size Passenger Car
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2016,Toyota,Tacoma,SR5,22348,33997,33997,NULL,32585.1428,12,BLK/B,NULL,NULL,30850,3147,GM007377C,3TMCZ5AN1GM007377,2/22/2019,Automatic,GREEN,31646,4WD Small Pickup Trucks
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2011,Toyota,RAV4, ,132750,10997,10997,10997,NULL,4,GRN/G,NULL,NULL,7000,3997,BW125877,2T3BF4DV6BW125877,3/2/2019,Automatic,RED,7946,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2018,Toyota,4Runner,SR5,13607,34997,34997,NULL,32850.9166,5,01G3/,FB22,NULL,30285,4712,J5532232C,JTEBU5JR6J5532232,3/1/2019,Automatic,GREEN,32268,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2015,Dodge,Durango,LIMITED,75547,24997,24997,NULL,27345,NULL,GRAY/,NULL,NULL,20000,4997,FC863953,1C4RDJDG8FC863953,3/6/2019,Automatic,YELLOW,20948,4WD Sport Utility Vehicles
Lithia Motors Inc.,Klamath Falls Toyota,42.2076,-121.7547,OR,2012,Chevrolet,Silverado 1500,LT,72466,22497,22497,NULL,24965.3333,NULL,BLU/B,NULL,NULL,19600,2897,CF194985,1GCPKSE71CF194985,3/6/2019,Automatic,YELLOW,21180,4WD Standard Pickup Trucks
